student_id,age,gender,year_of_study,gpa,academic_consistency,programming_skill_score,problem_solving_score,digital_skill_score,communication_skill_score,teamwork_score,leadership_score,adaptability_score,learning_motivation_score,internship_count,internship_duration_months,project_count,project_portfolio_score,industry_alignment_score,workshops_attended,online_courses_completed,networking_events_attended,career_clarity_score,market_awareness_score,higher_study_interest,target_industry,career_goal_alignment_score,interview_readiness_score,resume_quality_score,employment_competitiveness_score,employment_competitiveness_level
STU0001,24,Male,4,8.47,82.51,84.35,82.93,85.26,50.41,66.29,67.71,87.29,87.19,3,12,6,76.96,73.51,7,10,2,77.52,67.83,Yes,Manufacturing,72.95,62.74,78.75,59.43,Medium
STU0002,21,Male,4,7.94,70.48,66.67,69.87,76.08,62.76,68.96,81.02,41.37,64.35,3,14,3,69.21,84.39,7,3,7,89.5,90.3,Yes,Manufacturing,84.66,86.39,72.58,55.87,Medium
STU0003,22,Male,2,8.02,84.61,66.93,69.0,60.04,75.57,79.56,47.76,67.17,66.61,4,16,3,58.55,74.41,8,5,4,54.32,61.61,Undecided,Consulting,57.82,70.6,69.9,49.95,Medium
STU0004,24,Male,2,5.56,77.62,64.71,77.76,74.2,80.02,73.74,60.31,36.08,74.75,4,8,5,70.21,100.0,9,4,4,73.11,75.67,Undecided,Education,78.07,75.04,85.94,51.66,Medium
STU0005,20,Male,2,8.65,74.97,63.05,73.86,62.82,98.51,80.03,73.67,62.02,54.56,3,6,3,64.1,61.57,6,3,1,97.85,75.54,No,Consulting,78.03,89.98,59.85,59.15,Medium
STU0006,25,Male,4,7.51,77.36,73.83,82.16,51.89,82.42,97.17,82.57,66.11,78.97,2,9,4,60.72,69.89,4,4,3,60.15,68.67,Undecided,Information Technology,57.96,89.91,72.47,63.13,Medium
STU0007,22,Male,3,6.76,75.32,50.54,63.12,71.47,69.26,56.44,63.33,88.62,66.56,5,17,4,56.45,77.15,6,6,4,100.0,73.32,Yes,Government,91.88,80.21,67.61,78.68,High
STU0008,22,Male,1,7.37,77.19,86.65,85.83,71.91,58.42,73.63,66.92,76.76,92.02,2,9,7,98.74,74.24,7,0,5,57.31,70.43,Yes,Finance,73.59,70.17,66.73,52.09,Medium
STU0009,24,Female,1,5.07,54.84,61.35,58.24,57.2,62.66,62.45,70.42,62.0,48.89,1,2,4,64.5,37.82,7,7,5,65.89,79.7,Yes,Healthcare,84.37,73.23,49.62,27.64,Low
STU0010,19,Female,1,7.69,70.12,79.38,91.69,71.63,62.29,64.67,55.37,84.79,85.35,1,3,1,44.02,49.34,6,1,5,82.12,83.12,Yes,Consulting,78.2,65.18,53.98,53.83,Medium
